#,Name,Type 1
1,puding,150 kalori
2,irmik helvası,350 kalori
3,kurabiye,200 kalori(bir adet)
4,sufle,300 kalori
5,pasta,320 kalori(bir dilim)
6,kek,280 kalori(bir dilim)
7,tiramisu,360 kalori
8,turta,400 kalori
9,supangle,190 kalori
10,çilekli puding,140 kalori
11,limonlu portakallı kek,250 kalori
12,bal kabağı pastası,390 kalori
13,brownie,450 kalori
14,vişneli turta,400 kalori
15,mozaik pasta,340 kalori(bir dilim)
16,çikolatalı kurabiye,450 kalori(bir adet)
17,dondurma,290 kalori
18,kabak tatlısı,420 kalori
19,havuçlu kek,410 kalori
20,kemalpaşa tatlısı,370 kalori
21,güllac,200 kalori
22,magnolia,350 kalori
23,tahinli kurabiye,390 kalori
